# Jt   I(t)
3.760000000000000231e+00 3.929705644663548103e-01
3.780000000000000249e+00 3.553682664662481949e-01
3.800000000000000266e+00 3.199115448463660805e-01
3.820000000000000284e+00 2.865449315491968019e-01
3.839999999999999858e+00 2.552166787772396916e-01
3.859999999999999876e+00 2.258786646135393927e-01
3.879999999999999893e+00 1.984862813674963811e-01
3.899999999999999911e+00 1.729983145430730174e-01
3.919999999999999929e+00 1.493768181812388796e-01
3.939999999999999947e+00 1.275869907320672514e-01
3.959999999999999964e+00 1.075970544262929013e-01
3.979999999999999982e+00 8.937814023820417342e-02
4.000000000000000000e+00 7.290417988460611010e-02
